Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Telepath Block	Great_War	04-327	5	Enhancement	Character	  	  	  	  	  		Uncommon		04-327 U2	Target a character with Psi above 0.  The target may rotate to rotate (for no effect) any character whose Psi is less than the enhanced character's Psi, but greater than 0.
Telepath Recruit	Great_War	04-328	  	Character	Non-Aligned	  	  	5	  	  		Common		04-328 C2	Multiple.  Any Psi conflict you initiate begins with 1 automatic support.
Telepathic Scan [GW]	Great_War	04-329	  	Conflict	Psi	  	  	  	  	  		Fixed	Human, Non-Aligned	04-329 F2	Target another player.  If successful, the target player must show you a number of random cards from his hand equal to the base Psi score of the character you first rotated to support the conflict (up to his entire hand).  Select and discard one of the cards.
Tense Situation	Great_War	04-330	  	Event		  	  	  	  	  		Common		04-330 C2	Apply one influence for each ready Neutral character. Target a conflict. No more Neutral characters can participate in the conflict.
Tenuous Control	Great_War	04-331	3	Event		  	  	  	  	  		Uncommon		04-331 U2	Target an enhancement that targets a card in another player's faction or that targets that faction as a whole. The enhancement's owner must either blank the enhancement for the rest of the turn, or discard it at the end of the turn.
Terra Firma	Great_War	04-332	  	Agenda	Major	  	  	  	  	  		Rare 2		04-332 R2	If you conquer a homeworld, gain +2 influence.  If you control at least 3 homeworlds, and the homeworld of every faction in the game, you score a Major Victory this turn.
Terrorist Strike	Great_War	04-333	  	Conflict	Intrigue	  	  	  	  	  		Fixed	HomeFactions	04-333 F2	Target a location loyal to your race that is controlled by another faction of your race. Apply damage to the location equal to the amount by which this conflict succeeds.
Test Their Mettle [GW]	Great_War	04-334	  	Conflict	Diplomacy	  	  	  	  	  		Fixed	Centauri, Human, Narn, Non-Aligned	04-334 F2	Target a faction of another race.  Characters of your two races apply double Diplomacy during resolution.  Your target may choose (at initiation) to allow Military to support or oppose this conflict. If successful, gain +1 influence, and if you win by 5 or more your target loses 1 influence.  If it fails, exchange recipients of these effects.
The Greater Good	Great_War	04-335	  	Event		  	  	  	  	  		Common		04-335 C2	Purge a Destiny Mark. Increase Babylon 5's influence by +1 and decrease Shadow and Vorlon Influence by 1.
The Katai	Great_War	04-336	8	Enhancement	Non-Aligned Fleet	  	  	  	  	  		Rare 2		04-336 R2	Flagship.  Limited. You may only control one Flagship at a time. You may move this enhancement to any other valid fleet you control during the Ready round.  You may apply 5 influence as an action to ready the target fleet.  The effect of its action is not canceled.  If it participated in a conflict, it cannot participate in the same conflict again.
The Path of Conquest	Great_War	04-337	  	Agenda	Major	  	  	  	  	  		Rare 2		04-337 R2	You must have at least 10 influence to sponsor this agenda.  If any effect would increase your tension toward another race beyond 5, your two races enter a state of war.  Your maximum unrest is lowered by 1 for each state of war your race is in.  If you force a faction to lose influence with a war conflict while that faction has 5 or less influence, that faction must unconditionally surrender to you.
The Price of Fame	Great_War	04-338	  	Aftermath	Lost	  	  	  	  	  		Uncommon		04-338 U2	Target participant character must apply influence equal to his Destiny Marks to ready.  The character may purge half his Destiny Marks as an action to discard this aftermath.
The Right Contacts	Great_War	04-339	6	Group	Non-Aligned	  	  	  	  	  		Fixed	Non-Aligned	04-339 F2	Before drawing your first free card in the Draw round, you may name a card type. If you do so, show your free card to all players. If it matches the card type you named, immediately draw an additional free card.
The Upper Hand	Great_War	04-340	  	Conflict	Intrigue	  	  	  	  	  		Rare 2		04-340 R2	Target a character in another faction.  If successful, this card becomes an enhancement on the target character.  You may discard this enhancement (as an action) while the character is ready to cause the character to support or oppose a conflict as if he were your character.
Third Squadron	Great_War	04-341	  	Enhancement	Fleet	  	  	  	  	  		Uncommon		04-341 U2	The target fleet gains +1 Military.  As an action, the controller of the fleet may return this card to its owner's hand.
Third United Fleet	Great_War	04-342	  	Fleet	United	  	  	  	  	15		Rare 2		04-342 R2	Any player with no Shadow or Vorlon Marks may discard fleets he controls, loyal to at least two different races or species, with a combined Military of at least 15 to sponsor this fleet for free. This fleet inflicts additional damage during attacks equal to the number of Shadow and Vorlon Marks in the other fleet's faction.
This Was a Mistake	Great_War	04-343	2	Event		  	  	  	  	  		Rare 2		04-343 R2	Target a conflict you initiated from a conflict card. The conflict must have no support or opposition. Discard the conflict. (The conflict and any other effects of the card are negated).
Ties to the Mighty	Great_War	04-344	  	Enhancement	Character	  	  	  	  	  		Common		04-344 C2	Target a character who cannot become an Inner Circle character.  This enhancement's coat is equal to that character's influence cost.  The target character is no longer restricted against becoming an Inner Circle Character.
Time of Decision	Great_War	04-345	3	Event		  	  	  	  	  		Common		04-345 C2	Target any character who has both Doom Marks and Destiny marks. Convert one of those marks into the other type.
To Make a Stand	Great_War	04-346	  	Agenda	Major	  	  	  	  	  		Rare 2		04-346 R2	If the Shadows or Vorlons influence is higher than Babylon 5's influence, rotate this agenda to cause Babylon 5 to gain +1 influence.  Rotate this agenda to cause a character to gain Leadership equal to his number of Destiny Marks for the rest of the turn.  Count each 3 influence Babylon 5 has as 1 power.
Trade Pact [GW]	Great_War	04-347	  	Conflict	Diplomacy	  	  	  	  	  		Fixed	Human, Minbari, Non-Aligned	04-347 F2	Target another race with whom you have a mutual tension of 3 or less and no Free Trade state.  Characters of your two races apply double Diplomacy during resolution.  If successful, there exists a state of Free Trade between your two races.  While this state is in effect, factions of your two races each have +1 influence rating.
Trade Sanctions	Great_War	04-348	  	Event		  	  	  	  	  		Common		04-348 C2	Target any player and hold a Babylon 5 vote. If the vote passes, Babylon 5 gains +1 influence and the target must apply 4 influence for no effect at the end of the next ready round.
Trade War	Great_War	04-349	2	Event		  	  	  	  	  		Common		04-349 C2	At the end of the Ready round next turn, all players in a state of Free Trade must apply 2 influence for no effect for each state of Free Trade they are in.
Truce	Great_War	04-350	  	Event		  	  	  	  	  		Uncommon		04-350 U2	Target two players in a state of war. Neither may initiate a war conflict against the other for one turn for each 5 influence you apply when playing this event
Tualakh Vit'lokh	Great_War	04-351	6	Character	Non-Aligned	3	2	  	3	  		Uncommon		04-351 U2	Llort.  Name one ability (Diplomacy, Intrigue or Leadership) when this character is sponsored.  Tualakh Vit'lokh loses her total in all other abilities when sponsored.
Ulkesh Kosh	Great_War	04-352	6	Character	Vorlon	  	  	  	5	  	2x Vorlon	Rare 2		04-352 R2	Any player can sponsor Ulkesh Kosh into the control of any faction with Vorlon Marks. Kosh Naranek and Ambassador Kosh are removed from the game when Ulkesh Kosh is sponsored. Babylon 5 loses 4 influence when Ulkesh Kosh is sponsored. Vorlon Marks cannot be purged while Ulkesh Kosh is in play. Ulkesh Kosh is not discarded when neutralized.
Uncertain Times	Great_War	04-353	  	Event		  	  	  	  	  		Fixed	HomeFactions	04-353 F2	The cost for any player to sponsor Neutral characters is increased by 2 for the rest of this turn and for all of the next turn.
Underground Telepath	Great_War	04-354	9	Character	Neutral	  	  	6	  	  		Uncommon		04-354 U2	Underground Telepath may use half his Psi as Intrigue.
Unexpected Activity	Great_War	04-355	5	Event		  	  	  	  	  		Rare 2		04-355 R2	Target another player. During the next Conflict round, if that player chooses not to initiate a conflict, you may play a conflict card for him which he must initiate. The selected conflict must be one the target player can validly initiate.
Unexpected Return	Great_War	04-356	5	Event		  	  	  	  	  		Uncommon		04-356 U2	Irrevocable. Return to play, as a supporting card for you, a character in your discard pile who can only be brought into play through replacement. (There can be no other copy of that character in play.) The character must have been in play earlier in the game.
Unfounded Rumors	Great_War	04-357	  	Contingency	Character	  	  	  	  	  		Rare 2		04-357 R2	Play on your ambassador.  Reveal when a card in your faction or your faction as a whole is targeted by an aftermath. The aftermath is negated. No copy of that aftermath can target your faction for the rest of this turn.
Universe Today Feature [GW]	Great_War	04-358	1	Event		  	  	  	  	  		Fixed	Non-Aligned	04-358 F2	Increase or decrease one other race's tension toward any one race by 1.
University Complex	Great_War	04-359	5	Enhancement	Location	  	  	  	  	  		Uncommon		04-359 U2	Target a location loyal to its controller's race.  All Aides, Agents and Captains loyal to the target location's race gain +1 to their starting ability.  This bonus is not cumulative with other University Complexes.
Unpopular Goals	Great_War	04-360	  	Conflict	Diplomacy	  	  	  	  	  		Fixed	HomeFactions	04-360 F2	Target a faction with a Major Agenda. If successful, the target loses 1 influence, and all other factions of the target's race gain +1 influence. In addition, if this conflict succeeds by 10 or more, you gain +1 influence.
Unpopular Intervention	Great_War	04-361	1	Event		  	  	  	  	  		Common		04-361 C2	At the beginning of the Resolution round, increase by 1 the unrest of each player who participated in a war conflict not initiated by or targeting that player.
Valarius	Great_War	04-362	8	Enhancement	Centauri Fleet	  	  	  	  	  		Rare 2		04-362 R2	Flagship.  Limited.  You may only control one Flagship at a time.  You may move this enhancement to any other valid fleet you control during the Ready round.  You may sponsor fleet enhancements at double the normal influence cost, to make the enhancement a faction enhancement which affects all Centauri fleets.
Vengeance Fleet	Great_War	04-363	5	Fleet	Narn	  	  	  	  	3		Rare 2		04-363 R2	This fleet inflicts +2 additional damage during attacks for each other fleet you control that was neutralized this turn.
Venlesh	Great_War	04-364	4	Character	Non-Aligned	1	1	  	1	  		Common		04-364 C2	Gaim.  When Venlesh is discarded, you may apply 3 influence to place this card in its owner's hand instead.  Any other player may apply 5 influence to prevent this effect.
Vicious Blow	Great_War	04-365	  	Contingency	Character	  	  	  	  	  		Common		04-365 C2	Reveal when the character neutralizes his target in an attack.  The attacked character suffers 2 additional severe damage.
Vicious Rumors	Great_War	04-366	  	Aftermath	Participant	  	  	  	  	  		Uncommon		04-366 U2	Target a participant character with a Doom Mark.  The target's highest ability is reduced by 1.  The target faction's unrest increases by +1.  Purge a Doom Mark from the target character.  (Discard this aftermath after play.)
Vizak	Great_War	04-367	6	Character	Non-Aligned	2	2	  	4	  		Fixed	Non-Aligned	04-367 F2	Drazi Ambassador.  Every time Vizak rotates to support or oppose a conflict, you must apply 1 point of damage to a non-neutralized character you control.
Vlur/Nhar	Great_War	04-368	6	Character	Non-Aligned	2	4	  	  	  		Fixed	Non-Aligned	04-368 F2	Pak'ma'ra Ambassador.  Vlur/Nhar gains +2 intrigue while opposing conflicts targeting a card in his faction, or targeting his faction as a whole.
Voice of the Resistance	Great_War	04-369	  	Group		  	  	  	  	  		Rare 2		04-369 R2	Rotate this group, apply 3 influence and target a Media card.  Rotate the target (if ready) for no effect.  In addition, its effect text is blanked for the rest of the turn.
Vorlon Allies	Great_War	04-370	  	Enhancement	Location	  	  	  	  	  	Vorlon	Uncommon		04-370 U2	Requires 3 Vorlon Marks to sponsor.  Target one of your locations.  The target location gains a Vorlon Mark (which applies to your faction total) and gains +5 Military.  While targeted by a conflict which requires Shadow Marks to initiate, this location gains +10 Military.
Vorlon Dreams	Great_War	04-371	  	Conflict	Intrigue	  	  	  	  	  		Uncommon		04-371 U2	Requires 4 Vorlon Marks to initiate.  If successful, this card becomes a faction enhancement for you.  Once per turn, this enhancement allows you to purge a Vorlon Mark to reduce your cost to sponsor or promote characters of other races by an amount equal to your remaining Vorlon Marks.
Vorlon Order	Great_War	04-372	10	Enhancement	Global	  	  	  	  	  		Rare 2		04-372 R2	Requires 7 Vorlon Marks to sponsor.  When sponsored, name an event that does not require Shadow Marks to play.  That event cannot be played while this enhancement remains in play.
Vorlon Planet Killer	Great_War	04-373	  	Conflict	Military	  	  	  	  	  		Rare 2		04-373 R2	Limited. Irrevocable. Requires 1 Vorlon Mark to initiate, and the Shadow War must be in effect.  Each turn, the Vorlon Planet Killer targets the location with the lowest Military in the faction with the most Shadow Marks, or (if none), in any faction with no Vorlon Marks.  This conflict has automatic support equal to 75 plus Vorlon influence.  If successful, remove the target location from the game, and this conflict is automatically reinitiated next turn (as an additional conflict).  If unsuccessful, the Vorlons lose one quarter of their influence.
Vorlon Strike Fleet	Great_War	04-374	13	Fleet	Vorlon	  	  	  	  	15		Rare 2		04-374 R2	Any player with 4 or more Vorlon Marks may sponsor this fleet at normal cost if the Shadow War is in effect.  This fleet has 4 damage resistance.  May only be targeted by Vorlon enhancements.  May only be led by Vorlon characters.  This fleet must support a Military conflict requiring Vorlon Marks to initiate if any are in play.  May not support any other conflict.
Vorlon Universe	Great_War	04-375	  	Agenda	Major	  	  	  	  	  		Rare 2		04-375 R2	You must have at least 20 power to sponsor this agenda.  If all factions in the game have at least 1 Vorlon Mark and your faction has more influence than any other faction, you score a Major Victory this turn.
Vorlon War Fleet	Great_War	04-376	15	Fleet	Vorlon	  	  	  	  	20		Rare 2		04-376 R2	Any player with 6 or more Vorlon Marks may sponsor this fleet at normal cost if the Shadow War is in effect.  This fleet has 5 damage resistance.  May only be targeted by Vorlon enhancements.  May only be led by Vorlon characters.  This fleet must support a Military conflict requiring Vorlon marks to initiate if any are in play.  May not support any other conflict.  May only oppose conflicts which require Shadow Marks.
Vree Scouts	Great_War	04-377	7	Fleet	Non-Aligned	  	  	  	  	3		Fixed	Non-Aligned	04-377 F2	Vree. When attacking or being attacked, Vree Scouts apply their damage before their opponent.
War Fever	Great_War	04-378	5	Enhancement	Faction	  	  	  	  	  		Uncommon		04-378 U2	Target your faction.  All your characters lose 1 Diplomacy.  Rotate War Fever and target a Military conflict you initiated which targets a card in another player's faction or that faction as a whole.  Apply support to the conflict equal to your tension toward that faction.
War Footing	Great_War	04-379	  	Agenda		  	  	  	  	  		Uncommon		04-379 U2	You may have two copies of any of your race's Limited fleets in play at the same time. (If this agenda leaves play or is blanked, you must return any extra copies of the limited fleets to your hand). Gain +1 influence for each war conflict you win by 10 or more.
War Protesters	Great_War	04-380	  	Conflict	Diplomacy	  	  	  	  	  		Uncommon		04-380 U2	Target two factions in a state of War.  If successful, each of those two factions must apply additional influence equal to their unrest to initiate war conflicts against the other.  This effect expires when the war ends.
Wargames	Great_War	04-381	  	Conflict	Leadership	  	  	  	  	  		Rare 2		04-381 R2	Any faction may be supported in this conflict.  The faction with the most support gains +1 influence.
We Are Not Impressed	Great_War	04-382	3	Enhancement	Global	  	  	  	  	  		Uncommon		04-382 U2	All players may only count influence as power. (All other sources of power are ignored.) Any player may initiate a conflict of any type which, if successful, discards this card. Events cannot target this enhancement.
Well Publicized	Great_War	04-383	  	Aftermath	Won	  	  	  	  	  		Rare 2		04-383 R2	Target the initiator when he gained influence from the conflict.  Rotate a media character you control.  The initiator gains +1 power.  (Discard this aftermath after play.)
What Are You?	Great_War	04-384	  	Aftermath	Lost	  	  	  	  	  		Common		04-384 C2	Target an Inner Circle character loyal to a race other than its faction's race.  Demote the target to a supporting character.  (Discard this aftermath after play.)
What Were You Thinking?	Great_War	04-385	  	Aftermath	Lost	  	  	  	  	  		Uncommon		04-385 U2	Play when a player other than the initiator gained influence from the conflict.  The initiator of the conflict loses 1 influence.  (Discard this aftermath after play.)
White Star Fleet	Great_War	04-386	11	Fleet	Babylon 5	  	  	  	  	12		Rare 2		04-386 R2	Any player may sponsor this fleet at normal cost if the Shadow War has begun and if The White Star has ever entered play.  This fleet has 2 damage resistance.  While attacking a Shadow or Vorlon fleet, this fleet gains a Strife Mark and ignores the target's damage resistance and Strife Marks.  If the Shadow War is in effect, this fleet cannot rotate to support conflicts.
William Morgan Clark [GW]	Great_War	04-387	  	Character	Human	5	5	  	  	  	Conspiracy, Doom, Shadow	Fixed	HomeFactions	04-387 F2	Starting Human Home Faction Ambassador. Earth Alliance Vice President. Your faction's unrest begins at 2. You cannot play Presidential Coup unless you have at least 4 Inner Circle characters.
With A Sacrifice	Great_War	04-388	  	Aftermath	Won Centauri	  	  	  	  	  		Uncommon		04-388 U2	Play when a multiple character you control was neutralized during the conflict. Promote one target Lord or Lady character to your Inner Circle for free.  (Discard this aftermath after play.)
With an Iron Fist	Great_War	04-389	  	Conflict	Military	  	  	  	  	  		Fixed	HomeFactions	04-389 F2	Only fleets loyal to your race can participate in this conflict. When you initiate this conflict, set your unrest at 5. For each 20 by which this conflict succeeds, lower your unrest by 1.
Wrong Place and Time	Great_War	04-390	  	Aftermath	Military Participant	  	  	  	  	  		Uncommon		04-390 U2	Play if a location was captured or neutralized during the conflict.  Neutralize a target character in the faction that controlled the location.  That character suffers 5 severe damage. (Discard this aftermath after play.)
You Didn't Mean That	Great_War	04-391	2	Event		  	  	  	  	  		Common		04-391 C2	Target a conflict that targets your race, your faction, or a card in your faction. You and the initiator must have a mutual tension of 1. The conflict must have no support or opposition. Negate the conflict. (The conflict does not resolve.)
You Do Not Understand	Great_War	04-392	  	Event		  	  	  	  	  		Common		04-392 C2	Requires 1 Vorlon Mark to play. Shuffle your discard pile. Randomly select 2 cards from the pile and put them on the bottom of your deck without looking at the cards.
Z'athras	Great_War	04-393	5	Character	Neutral	  	1	  	  	  		Rare 2		04-393 R2	Up to 12 Zathras cards may be in play at a time.  May replace any Zathras you control.  A Replaced Zathras may return to play.  If you Replace a Zathras, you may apply 3 Influence to put the Zathras being replaced back in your hand.  Rotate this character and target another Zathras.  Rotate the targeted character for no effect.
Zat'hras	Great_War	04-394	5	Character	Neutral	  	1	  	  	  		Common		04-394 C2	Up to 12 Zathras cards may be in play at a time.  May replace any Zathras you control.  A Replaced Zathras may return to play.  If you Replace a Zathras, you may apply 3 Influence to put the Zathras being replaced back in your hand. Rotate this character and target a conflict.  All characters participating in that conflict apply 1 less support or opposition than normal (to a minimum of 0).
Zathr'as	Great_War	04-395	5	Character	Neutral	  	1	  	  	  		Uncommon		04-395 U2	Up to 12 Zathras cards may be in play at a time.  May replace any Zathras you control.  A Replaced Zathras may return to play.  If you Replace a Zathras, you may apply 3 Influence to put the Zathras being replaced back in your hand. Rotate this character and target another character.  The targeted character cannot attack any character in your faction for the rest of the turn.
Zero Sum Game	Great_War	04-396	  	Enhancement	Global	  	  	  	  	  		Fixed	HomeFactions	04-396 F2	Each agenda with more than one (revealed) copy in play generates no power bonuses.
Zhabar	Great_War	04-397	10	Location	Non-Aligned	  	  	  	  	15		Fixed	Non-Aligned	04-397 F2	Drazi Homeworld. Non-Aligned Faction Homeworld.  Location's Military may only be used to oppose conflicts targeting this location. Whenever you gain influence from a conflict, rotate this location to gain +1 additional influence.
Asimov Laws	Great_War	P4-398	  	Conflict	Psi	  	  	  	  	  		Promo		P4-398 P	Target a character.  If successful, this conflict becomes a character enhancement.  The enhancement prevents that character from attacking any of your characters.  If this conflict succeeds by 10 or more, the character also cannot oppose any conflict you initiate.
Attack Formation	Great_War	P4-399	2	Event		  	  	  	  	  		Promo		P4-399 P	Target 2 or more of your fleets supporting or opposing the same conflict.  Each of those fleets gains +2 Military for the rest of the turn
Charting the Course	Great_War	P4-400	6	Event		  	  	  	  	  		Promo		P4-400 P	If you have no agenda in play (hidden or not), rotate your ambassador.  Select any agenda from your deck and put it into play, then shuffle your deck.  Your agenda becomes a Major Agenda for as long as it remains in play.
Defector Revealed	Great_War	P4-401	  	Event		  	  	  	  	  		Promo		P4-401 P	Replace a Disaffected character you control with another character loyal to that race.  The new character must not be restricted against joining your Inner Circle.  Apply Influence equal to the difference between the Disaffected character and the replacing character
Disarray	Great_War	P4-402	  	Aftermath		  	  	  	  	  		Promo		P4-402 P	Any agenda in the target ambassador's faction is blanked and any marks provided by that agenda are ignored.  The faction cannot sponsor, discard or replace their agenda.  Discard this aftermath at the end of the next turn.
Exhaustion	Great_War	P4-403	  	Event		  	  	  	  	  		Promo		P4-403 P	Target a character you control.  The character is no longer participating in any conflict in any fashion.  Rotate the character if he is not already rotated
Gaim Merchant	Great_War	P4-404	5	Character	Non-Aligned	2	2	  	  	  		Promo		P4-404 P	Gaim.  Rotate to give any other Gaim character +1 to each non-zero ability.
Return to Ideals	Great_War	P4-405	  	Event		  	  	  	  	  		Promo		P4-405 P	If you have no agenda in play, rotate your ambassador and apply 10 influence to select an agenda from your discard pile and immediately sponsor it.  If you have a Major Agenda in play, apply 10 influence and rotate your ambassador to select a Major Agenda from your discard pile and replace your current agenda.
The Just Suffer	Great_War	P4-406	2	Event		  	  	  	  	  		Promo		P4-406 P	Target a character with neither Shadow nor Doom marks who is controlled by a player with Shadow or Doom marks.  The target character takes 3 damage
Zathra's	Great_War	P4-407	5	Character	Neutral	  	1	  	  	  		Promo		P4-407 P	Up to 12 Zathras cards may be in play at a time.  May replace any Zathras you control.  A replaced Zathras may return to play.  If you replace a Zathras, you may apply 3 Influence to put the Zathras being replaced back in your hand.  Rotate to increase the cost for all players to play events by +1 for the rest of the turn.
Lyta Empowered (signed)	Great_War	S4-185	6	Character	Vorlon	  	2	15	  	  	Vorlon	Promo		S4-185 P	Requires 3 Vorlon Marks to play.  May replace Lyta Alexander.  Lyta Alexander is removed from the game (and cannot reenter play).  Any player may apply an even amount of influence. Lyta gains or loses (that player's choice) half that amount of Psi for the rest of the turn.
A Better Place	Psi_Corps	05-001	  	Aftermath	Won Psi Participant	  	  	  	  	  		Rare 2		05-001 R2	Remove from the game one of your limited Inner Circle participant teeps. The effect text of the conflict is reversed. The conflict is still considered won for aftermath purposes. (Discard this aftermath after play.)
A New Era	Psi_Corps	05-002	2	Enhancement	Global	  	  	  	  	  		Common		05-002 C2	If any opposable Military conflicts are in play, any player may rotate his ambassador as an action to rotate this enhancement and call a Babylon 5 vote. If successful, all opposable Military conflicts in play gain 2 opposition for each yes vote.
A Time for Peace	Psi_Corps	05-003	3	Event		  	  	  	  	  		Uncommon		05-003 U2	Call a Babylon 5 vote. If the vote passes, all (opposable) Military conflicts in play gain opposition equal to Babylon 5's influence. Reduce Babylon 5's influence by one for each of these conflicts that succeeds.
Abbut	Psi_Corps	05-004	9	Character	Neutral	  	5	  	  	  		Uncommon		05-004 U2	Rotate to look at the bottom 10 cards on any deck. (Return in same order.) You may apply influence equal to half Abbut's Intrigue to use his Intrigue as Psi for the rest of the turn.
Acclaim	Psi_Corps	05-005	  	Aftermath	Won Diplomacy	  	  	  	  	  		Common		05-005 C2	Target a participant character. Any conflicts targeting the target character gain +5 automatic opposition. 
Acknowledge Legitimacy	Psi_Corps	05-006	  	Conflict	Diplomacy	  	  	  	  	  		Uncommon		05-006 U2	Target a Centauri, Human, Minbari, or Narn character whose race has no vote in Babylon 5 votes. Characters of that race apply double Diplomacy during the resolution of this conflict. If successful, this Conflict becomes an Aftermath targeting that character that allows the target's controller to vote for the target's race in Babylon 5 votes. Each race may only be targeted by this aftermath once per game.
Administrator Drake	Psi_Corps	05-007	10	Character	Human	4	2	10	  	  	Conspiracy	Fixed	PsiCorps	05-007 F2	Psi Corps Character. Psi Cop. Requires 4 Conspiracy Marks to sponsor. Administrator Drake gains +4 Diplomacy while opposing a Diplomacy conflict which targets your faction. Rotate Administrator Drake to reduce the cost of the next Psi Corps character you sponsor this turn by 2.
Afraid of the Dark	Psi_Corps	05-008	8	Enhancement	Global	  	  	  	  	  		Uncommon		05-008 U2	The cost for each player to play cards that require Shadow Marks is increased by an amount equal to twice his unrest.
Age of Exploration	Psi_Corps	05-009	2	Event		  	  	  	  	  		Common		05-009 C2	Next turn, you may sponsor locations without rotating a character and at -2 cost, and all other players may sponsor locations at -1 cost
Alfred Bester	Psi_Corps	05-010	12	Character	Human	2	5	13	2	  	2x Conspiracy, Destiny	Rare 2		05-010 R2	Psi Corps Character. Psi Cop. May not be sponsored. You may replace Bester with Alfred Bester if you have 5 Conspiracy Marks. Transfer all enhancements, contingencies, aftermaths, and marks. Rotate Alfred Bester instead of initiating any conflicts during the Conflict Round to search through your deck and initiate the first conflict you find. If that conflict cannot be viably initiated, discard it and you initiate no conflicts this turn. Shuffle your deck afterwards.
Alisa Beldon	Psi_Corps	05-011	6	Character	Neutral	  	2	3	  	  		Common		05-011 C2	The Psi Corps faction may sponsor Alisa Beldon as if she were a Human Psi Corps character. While controlled by the Psi Corps faction, Alisa Beldon is considered to be a Human Psi Corps character. Alisa Beldon's abilities are doubled while she is participating in a conflict which targets her.
Anarchy	Psi_Corps	05-012	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		05-012 R2	Target a Non-Aligned player. You may not target yourself. If successful, the target must choose another species ambassador in his Inner Circle to become his new faction ambassador. (Transfer to the new faction ambassador all aftermaths, contingencies, enhancements, and marks that can only be attached to an ambassador.) If the target cannot choose a new faction ambassador, he must instead demote all of his Inner Circle characters except his ambassador.
Anti-Telepath Virus	Psi_Corps	05-013	  	Conflict	Intrigue	  	  	  	  	  		Rare 2		05-013 R2	There must be 7 Shadow Marks in play to initiate this conflict. If successful, neutralize all teeps in play, and this card becomes a Global Aftermath that causes all players to pay double cost to sponsor teeps, cumulative with other doubling. Any player may initiate a Diplomacy conflict which, if successful, discards this aftermath.
Arms Race	Psi_Corps	05-014	  	Event		  	  	  	  	  		Common		05-014 C2	Target a race toward whom you have a tension of 4 or more. Rotate your ambassador to sponsor a fleet. The cost is reduced by one for each fleet in play loyal to the target race. Players of other races may increase their tension toward you by one.
At Any Cost	Psi_Corps	05-015	6	Event		  	  	  	  	  		Uncommon		05-015 U2	Unneutralize and fully heal a participant supporting character who did not attack this turn. If still unneutralized during resolution, double his support or opposition, then remove him from the game at the end of the turn.
Balus	Psi_Corps	05-016	12	Location	Neutral	  	  	  	  	5		Rare 2		05-016 R2	Location's Military may only be used to oppose conflicts targeting this location. Rotate to draw a card. If neutralized, remove Balus from the game.
Be Seeing You	Psi_Corps	05-017	  	Aftermath	Won	  	  	  	  	  	Conspiracy	Fixed	PsiCorps	05-017 F2	Target a participant character you control. The target gains a Conspiracy Mark. You may discard this aftermath at the beginning of the resolution of an opposable conflict that was won by an amount less than or equal to the highest ability currently supporting the conflict to cause the winner to gain no influence (from the conflict).
Bester's Black Omega	Psi_Corps	05-018	7	Enhancement	Human Fleet	  	  	  	  	  		Rare 2		05-018 R2	Flagship. Psi Corps Enhancement. Limited. You may only control one flagship at a time. May only target a Psi Corps fleet. You may move this enhancement to any other valid Psi Corps fleet you control at the end of the Ready Round. Any teep may lead the target fleet, even if his Leadership is zero. That teep gains a bonus to his Leadership equal to half his Psi.
Bester [Ps]	Psi_Corps	05-019	  	Character	Human	1	3	12	  	  	Conspiracy	Fixed	PsiCorps	05-019 F2	Human Psi Corps Starting Ambassador. Psi Corps Character. Psi Cop. Bester may not rotate to support a conflict you initiate unless another character has already participated.
Black Omega Auxiliary	Psi_Corps	05-020	5	Fleet	Human	  	  	  	  	2		Fixed	PsiCorps	05-020 F2	Psi Corps Fleet. Black Omega Auxiliary gains +4 Military while you are the target of a Military conflict.
Black Omega Fighters	Psi_Corps	05-021	5	Fleet	Human	  	  	  	  	2		Fixed	PsiCorps	05-021 F2	Psi Corps Fleet. Black Omega Fighters may participate in Intrigue conflicts using Military.
Black Omega Pilot	Psi_Corps	05-022	5	Character	Human	  	  	3	2	  		Fixed	PsiCorps	05-022 F2	Psi Corps Character. Multiple.
Black Omega Squadron	Psi_Corps	05-023	5	Enhancement	Fleet	  	  	  	  	  		Uncommon		05-023 U2	Psi Corps Enhancement. While this enhancement is ready, the target gains +1 Military.  Rotate this enhancement to give the target 2 points of Damage Resistance. (This action may not be sustained.)
Blackmail	Psi_Corps	05-024	  	Conflict	Psi	  	  	  	  	  		Fixed	PsiCorps	05-024 F2	Intrigue may be used to oppose this conflict. Target a non-ambassador character. If you win by 5 or more, the target's controller must do one of the following: transfer 1 influence to you, discard the target, or demote the target.
Block	Psi_Corps	05-025	3	Event		  	  	  	  	  		Common		05-025 C2	Target a teep who is using Psi to participate in a conflict. For the rest of the turn, reduce all of the target's abilities by an amount equal to the Psi of a teep you control.
Bloodhound	Psi_Corps	05-026	9	Character	Human	  	3	5	  	  	Strife	Fixed	PsiCorps	05-026 F2	Psi Corps Character. Multiple. Rotate this character and apply 5 influence to attack any target Human teep or target Neutral teep using Psi. Characters in the target's faction may attack this Bloodhound in return (using Psi). May not attack Psi Corps characters.
Build Bridges	Psi_Corps	05-027	5	Enhancement	Faction	  	  	  	  	  		Common		05-027 C2	You may sponsor Psi Corps cards using your Destiny Marks as if they were Conspiracy Marks.
